Date,Company_ID,Open,High,Low,Close,Volume,Dividends,Stock Splits,Adj Close
2018-09-12 00:00:00-04:00,NIO,6.0,6.929999828338623,5.349999904632568,6.599999904632568,66849000,0.0,0.0,6.599999904632568
2018-09-13 00:00:00-04:00,NIO,6.619999885559082,12.6899995803833,6.519999980926514,11.600000381469728,158346500,0.0,0.0,11.600000381469728
2018-09-14 00:00:00-04:00,NIO,12.65999984741211,13.800000190734863,9.220000267028809,9.899999618530272,172473600,0.0,0.0,9.899999618530272
2018-09-17 00:00:00-04:00,NIO,9.609999656677246,9.75,8.5,8.5,56323900,0.0,0.0,8.5
2018-09-18 00:00:00-04:00,NIO,8.729999542236328,9.100000381469728,7.670000076293945,7.679999828338623,41827600,0.0,0.0,7.679999828338623
2018-09-19 00:00:00-04:00,NIO,7.880000114440918,9.149999618530272,7.539999961853027,8.5,48306500,0.0,0.0,8.5
2018-09-20 00:00:00-04:00,NIO,9.06999969482422,9.470000267028809,8.420000076293945,8.779999732971191,40275000,0.0,0.0,8.779999732971191
2018-09-21 00:00:00-04:00,NIO,9.050000190734863,9.06999969482422,8.5,8.59000015258789,15118500,0.0,0.0,8.59000015258789
2018-09-24 00:00:00-04:00,NIO,8.319999694824219,8.390000343322754,7.849999904632568,7.869999885559082,16297900,0.0,0.0,7.869999885559082
2018-09-25 00:00:00-04:00,NIO,8.0600004196167,8.1899995803833,7.5,7.579999923706055,18909300,0.0,0.0,7.579999923706055
2018-09-26 00:00:00-04:00,NIO,7.590000152587891,7.760000228881836,7.5,7.5,11088300,0.0,0.0,7.5
2018-09-27 00:00:00-04:00,NIO,7.550000190734863,7.550000190734863,7.010000228881836,7.010000228881836,16815600,0.0,0.0,7.010000228881836
2018-09-28 00:00:00-04:00,NIO,6.96999979019165,7.28000020980835,6.679999828338623,6.980000019073486,21813600,0.0,0.0,6.980000019073486
2018-10-01 00:00:00-04:00,NIO,7.059999942779541,7.079999923706055,6.599999904632568,6.599999904632568,16429100,0.0,0.0,6.599999904632568
2018-10-02 00:00:00-04:00,NIO,6.599999904632568,6.599999904632568,5.869999885559082,5.929999828338623,19440000,0.0,0.0,5.929999828338623
2018-10-03 00:00:00-04:00,NIO,6.119999885559082,6.550000190734863,6.119999885559082,6.300000190734863,13251200,0.0,0.0,6.300000190734863
2018-10-04 00:00:00-04:00,NIO,6.190000057220459,6.25,6.0,6.25,11896600,0.0,0.0,6.25
2018-10-05 00:00:00-04:00,NIO,6.199999809265137,6.289999961853027,6.03000020980835,6.260000228881836,8378300,0.0,0.0,6.260000228881836
2018-10-08 00:00:00-04:00,NIO,6.070000171661377,6.179999828338623,5.949999809265137,6.039999961853027,11508800,0.0,0.0,6.039999961853027
2018-10-09 00:00:00-04:00,NIO,6.190000057220459,7.400000095367432,6.099999904632568,7.389999866485596,38464400,0.0,0.0,7.389999866485596
2018-10-10 00:00:00-04:00,NIO,8.100000381469727,8.350000381469727,7.389999866485596,7.75,74971100,0.0,0.0,7.75
2018-10-11 00:00:00-04:00,NIO,7.440000057220459,7.550000190734863,6.920000076293945,7.179999828338623,22730000,0.0,0.0,7.179999828338623
2018-10-12 00:00:00-04:00,NIO,7.460000038146973,7.75,7.28000020980835,7.460000038146973,14545400,0.0,0.0,7.460000038146973
2018-10-15 00:00:00-04:00,NIO,7.860000133514404,8.300000190734863,7.699999809265137,7.820000171661377,26781700,0.0,0.0,7.820000171661377
2018-10-16 00:00:00-04:00,NIO,8.0600004196167,8.199999809265137,7.829999923706055,8.039999961853027,17490500,0.0,0.0,8.039999961853027
2018-10-17 00:00:00-04:00,NIO,8.119999885559082,8.15999984741211,7.730000019073486,7.769999980926514,11705300,0.0,0.0,7.769999980926514
2018-10-18 00:00:00-04:00,NIO,7.599999904632568,7.670000076293945,7.260000228881836,7.5,11906000,0.0,0.0,7.5
2018-10-19 00:00:00-04:00,NIO,7.590000152587891,7.75,7.21999979019165,7.320000171661377,7336200,0.0,0.0,7.320000171661377
2018-10-22 00:00:00-04:00,NIO,7.679999828338623,7.690000057220459,7.0,7.03000020980835,12758500,0.0,0.0,7.03000020980835
2018-10-23 00:00:00-04:00,NIO,6.739999771118164,6.889999866485596,6.449999809265137,6.809999942779541,14901700,0.0,0.0,6.809999942779541
2018-10-24 00:00:00-04:00,NIO,6.849999904632568,6.849999904632568,6.130000114440918,6.170000076293945,14789900,0.0,0.0,6.170000076293945
2018-10-25 00:00:00-04:00,NIO,6.269999980926514,6.570000171661377,6.25,6.449999809265137,9188700,0.0,0.0,6.449999809265137
2018-10-26 00:00:00-04:00,NIO,6.210000038146973,6.510000228881836,6.179999828338623,6.349999904632568,9459000,0.0,0.0,6.349999904632568
2018-10-29 00:00:00-04:00,NIO,6.53000020980835,6.789999961853027,6.050000190734863,6.190000057220459,16027600,0.0,0.0,6.190000057220459
2018-10-30 00:00:00-04:00,NIO,6.199999809265137,6.21999979019165,5.619999885559082,5.949999809265137,21823900,0.0,0.0,5.949999809265137
2018-10-31 00:00:00-04:00,NIO,6.079999923706055,6.25,5.900000095367432,5.900000095367432,15213400,0.0,0.0,5.900000095367432
2018-11-01 00:00:00-04:00,NIO,6.0,6.78000020980835,5.960000038146973,6.619999885559082,24330900,0.0,0.0,6.619999885559082
2018-11-02 00:00:00-04:00,NIO,6.840000152587891,6.840000152587891,6.269999980926514,6.489999771118164,17988800,0.0,0.0,6.489999771118164
2018-11-05 00:00:00-05:00,NIO,6.519999980926514,6.71999979019165,6.25,6.679999828338623,13188700,0.0,0.0,6.679999828338623
2018-11-06 00:00:00-05:00,NIO,7.21999979019165,7.320000171661377,6.400000095367432,6.400000095367432,49855800,0.0,0.0,6.400000095367432
2018-11-07 00:00:00-05:00,NIO,6.420000076293945,6.880000114440918,6.150000095367432,6.739999771118164,23761800,0.0,0.0,6.739999771118164
2018-11-08 00:00:00-05:00,NIO,6.489999771118164,7.099999904632568,6.46999979019165,6.690000057220459,20510700,0.0,0.0,6.690000057220459
2018-11-09 00:00:00-05:00,NIO,6.590000152587891,6.929999828338623,6.519999980926514,6.769999980926514,12789800,0.0,0.0,6.769999980926514
2018-11-12 00:00:00-05:00,NIO,6.71999979019165,6.929999828338623,6.559999942779541,6.650000095367432,12709100,0.0,0.0,6.650000095367432
2018-11-13 00:00:00-05:00,NIO,6.690000057220459,6.900000095367432,6.579999923706055,6.78000020980835,15374100,0.0,0.0,6.78000020980835
2018-11-14 00:00:00-05:00,NIO,6.800000190734863,7.449999809265137,6.800000190734863,7.099999904632568,29585100,0.0,0.0,7.099999904632568
2018-11-15 00:00:00-05:00,NIO,7.150000095367432,7.489999771118164,7.110000133514404,7.340000152587891,17904000,0.0,0.0,7.340000152587891
